Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Sphere-10d,cahotic,StandardABC,8.839422434702918e-17,1.7239212375946742e-17,9.306735272402043e-17,5.057295512848657e-17,1.0732273799800002e-16
Sphere-10d,random,ModifiedABC,9.129822308881294e-17,1.456205448077187e-17,9.29016815171229e-17,6.058335447074695e-17,1.0938459724803842e-16
Sphere-10d,cahotic,ModifiedABC,8.516116736280089e-17,2.1114784222635236e-17,9.517447905942547e-17,3.562583485933353e-17,1.1086416479167256e-16
Sphere-10d,random,ABC/best/1,9.063898478444001e-17,1.6057202957358248e-17,9.639953249179512e-17,5.266787083730579e-17,1.1091204455120493e-16
Sphere-10d,cahotic,ABC/best/1,8.162604992823269e-17,1.6455117845445082e-17,7.877521628404594e-17,5.279212043555596e-17,1.1091167092509373e-16
Sphere-10d,random,ABC/best/2,8.999324649657943e-17,1.9620509161245907e-17,9.744873284006921e-17,2.6673577277489586e-17,1.0730369539137661e-16
Sphere-10d,cahotic,ABC/best/2,9.607349243538106e-17,1.2313231075072025e-17,1.0229545007871269e-16,7.321565293058252e-17,1.1099610756538766e-16
Rosenbrock-10d,random,StandardABC,0.039338838298294286,0.0732175365424795,0.01170600838385003,0.0013567062438826802,0.23265568876491785
Rosenbrock-10d,cahotic,StandardABC,0.004335535921283519,0.004242785314998929,0.0033863368016948782,0.00013311233913413032,0.013955735663815715
Rosenbrock-10d,random,ModifiedABC,6.937689237894657,0.1616103717723003,6.956725276176832,6.562175505189156,7.137145546282132
Rosenbrock-10d,cahotic,ModifiedABC,6.950347475166877,0.18642880133615558,6.980866821923667,6.633026346977692,7.233762349367075
Rosenbrock-10d,random,ABC/best/1,1.3003919583080825,1.6712871988633236,0.6768605191127898,4.1335410801167195e-05,5.300841218625678
Rosenbrock-10d,cahotic,ABC/best/1,0.31347286186538226,1.0262153419704165,0.007942502828424437,7.2062069073408e-05,4.147346555317501
Rosenbrock-10d,random,ABC/best/2,0.3210893108828175,0.6238520105727539,0.022313117593932334,0.001159786080064538,2.320018680509028
Rosenbrock-10d,cahotic,ABC/best/2,0.01424950672289292,0.019409106808296085,0.002958697342296458,0.0003807949894051732,0.05702321561090733
Ackley-10d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
Ackley-10d,cahotic,StandardABC,0.0,0.0,0.0,0.0,0.0
Ackley-10d,random,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Ackley-10d,cahotic,ModifiedABC,0.0,0.0,0.0,0.0,0.0
Ackley-10d,random,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Ackley-10d,cahotic,ABC/best/1,0.0,0.0,0.0,0.0,0.0
Ackley-10d,random,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Ackley-10d,cahotic,ABC/best/2,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,random,StandardABC,0.0,0.0,0.0,0.0,0.0
Rastrigin-10d,cahotic,StandardABC,0.0,0.0,0.0,0.0,0.0
