Function,Initialization,Mutation,OptValue
Rosenbrock-2d,cahotic,ModifiedABC,0.014164327420520633
Rosenbrock-2d,cahotic,ModifiedABC,0.02798621472941012
Rosenbrock-2d,cahotic,ModifiedABC,0.024873125256827118
Rosenbrock-2d,cahotic,ModifiedABC,0.019153296369148212
Rosenbrock-2d,cahotic,ModifiedABC,0.00639885469937288
Rosenbrock-2d,cahotic,ModifiedABC,0.01849366713272683
Rosenbrock-2d,cahotic,ModifiedABC,0.0008500807943854745
Rosenbrock-2d,cahotic,ModifiedABC,0.0011910707022356037
Rosenbrock-2d,cahotic,ModifiedABC,0.002072313439209148
Rosenbrock-2d,cahotic,ModifiedABC,0.0094240717101641
Rosenbrock-2d,cahotic,ModifiedABC,0.013611662089115798
Rosenbrock-2d,cahotic,ModifiedABC,0.03301191535835869
Rosenbrock-2d,cahotic,ModifiedABC,0.05234112316815974
Rosenbrock-2d,random,ABC/best/1,3.884787945587892e-17
Rosenbrock-2d,random,ABC/best/1,8.198655608725816e-17
Rosenbrock-2d,random,ABC/best/1,8.19091190955931e-17
Rosenbrock-2d,random,ABC/best/1,3.49113138119078e-17
Rosenbrock-2d,random,ABC/best/1,7.555633486297732e-16
Rosenbrock-2d,random,ABC/best/1,3.4593062918588013e-17
Rosenbrock-2d,random,ABC/best/1,1.0969089890061184e-16
Rosenbrock-2d,random,ABC/best/1,6.10284373264658e-17
Rosenbrock-2d,random,ABC/best/1,1.1081825466843093e-18
Rosenbrock-2d,random,ABC/best/1,9.313238085840487e-17
Rosenbrock-2d,random,ABC/best/1,2.5627037978747362e-14
Rosenbrock-2d,random,ABC/best/1,4.533333543712906e-17
Rosenbrock-2d,random,ABC/best/1,3.171793239823273e-18
Rosenbrock-2d,random,ABC/best/1,5.1115072329554256e-17
Rosenbrock-2d,random,ABC/best/1,2.3774324078890952e-17
Rosenbrock-2d,cahotic,ABC/best/1,0.019771691440142306
Rosenbrock-2d,cahotic,ABC/best/1,0.08811952637646858
Rosenbrock-2d,cahotic,ABC/best/1,0.056228207216703005
Rosenbrock-2d,cahotic,ABC/best/1,0.0011574010924002265
Rosenbrock-2d,cahotic,ABC/best/1,0.011800792954280952
Rosenbrock-2d,cahotic,ABC/best/1,0.05454522267041645
Rosenbrock-2d,cahotic,ABC/best/1,0.0016580301720803669
Rosenbrock-2d,cahotic,ABC/best/1,0.026443429077961864
Rosenbrock-2d,cahotic,ABC/best/1,0.01090887539651423
Rosenbrock-2d,cahotic,ABC/best/1,0.0473682383592998
Rosenbrock-2d,cahotic,ABC/best/1,0.07034716825170031
Rosenbrock-2d,cahotic,ABC/best/1,0.0005309207807501435
Rosenbrock-2d,cahotic,ABC/best/1,0.0007509370006867708
Rosenbrock-2d,cahotic,ABC/best/1,0.000527491791893673
Rosenbrock-2d,cahotic,ABC/best/1,0.18562494169460825
Rosenbrock-2d,random,ABC/best/2,3.1701764348793464e-06
Rosenbrock-2d,random,ABC/best/2,2.250068902136005e-05
Rosenbrock-2d,random,ABC/best/2,6.750711882512392e-06
Rosenbrock-2d,random,ABC/best/2,4.9659150450376495e-05
Rosenbrock-2d,random,ABC/best/2,4.012014748675031e-05
Rosenbrock-2d,random,ABC/best/2,7.121433874387377e-05
Rosenbrock-2d,random,ABC/best/2,1.2225851440562856e-06
Rosenbrock-2d,random,ABC/best/2,4.858643203936404e-05
Rosenbrock-2d,random,ABC/best/2,9.312037135744686e-07
Rosenbrock-2d,random,ABC/best/2,3.19007295949456e-06
Rosenbrock-2d,random,ABC/best/2,1.1253477780855319e-05
Rosenbrock-2d,random,ABC/best/2,2.842881086155829e-05
Rosenbrock-2d,random,ABC/best/2,9.929538237449934e-05
Rosenbrock-2d,random,ABC/best/2,2.3725132599477372e-05
Rosenbrock-2d,random,ABC/best/2,3.132450491987448e-08
Rosenbrock-2d,cahotic,ABC/best/2,0.10109853363741092
Rosenbrock-2d,cahotic,ABC/best/2,0.2945760808260171
Rosenbrock-2d,cahotic,ABC/best/2,0.008513371980213633
Rosenbrock-2d,cahotic,ABC/best/2,0.00036119903187736423
Rosenbrock-2d,cahotic,ABC/best/2,0.024424101409482604
Rosenbrock-2d,cahotic,ABC/best/2,0.10379755435162685
Rosenbrock-2d,cahotic,ABC/best/2,0.04872803182585281
Rosenbrock-2d,cahotic,ABC/best/2,4.015035290604033
Rosenbrock-2d,cahotic,ABC/best/2,0.12859415041171302
Rosenbrock-2d,cahotic,ABC/best/2,0.000754052698972806
