Function,Initialization,Mutation,OptValue
Rosenbrock-2d,cahotic,StandardABC,2.00423432867257e-05
Rosenbrock-2d,random,ModifiedABC,4.790016999681519e-11
Rosenbrock-2d,random,ModifiedABC,5.997603963744427e-11
Rosenbrock-2d,random,ModifiedABC,4.821794395730734e-13
Rosenbrock-2d,random,ModifiedABC,2.2345404042421582e-13
Rosenbrock-2d,random,ModifiedABC,3.3836227343482816e-11
Rosenbrock-2d,random,ModifiedABC,3.67530217322029e-13
Rosenbrock-2d,random,ModifiedABC,8.367035536385801e-11
Rosenbrock-2d,random,ModifiedABC,1.191431042732511e-11
Rosenbrock-2d,random,ModifiedABC,8.386825502809683e-13
Rosenbrock-2d,random,ModifiedABC,1.4939780246800998e-11
Rosenbrock-2d,random,ModifiedABC,3.1418103533635424e-13
Rosenbrock-2d,random,ModifiedABC,4.168863826756874e-14
Rosenbrock-2d,random,ModifiedABC,8.957279341261973e-12
Rosenbrock-2d,random,ModifiedABC,2.2621967617408178e-12
Rosenbrock-2d,random,ModifiedABC,3.506069361941532e-13
Rosenbrock-2d,cahotic,ModifiedABC,2.5010948219365883e-13
Rosenbrock-2d,cahotic,ModifiedABC,1.397889911924598e-13
Rosenbrock-2d,cahotic,ModifiedABC,1.2228205039905974e-11
Rosenbrock-2d,cahotic,ModifiedABC,8.957507377058307e-12
Rosenbrock-2d,cahotic,ModifiedABC,3.6481566382058746e-13
Rosenbrock-2d,cahotic,ModifiedABC,3.3817972693113776e-12
Rosenbrock-2d,cahotic,ModifiedABC,1.322157283094516e-13
Rosenbrock-2d,cahotic,ModifiedABC,2.088694137204627e-11
Rosenbrock-2d,cahotic,ModifiedABC,3.7021542832039446e-12
Rosenbrock-2d,cahotic,ModifiedABC,1.3744629003792848e-14
Rosenbrock-2d,cahotic,ModifiedABC,9.850811684869083e-14
Rosenbrock-2d,cahotic,ModifiedABC,4.4171735108335357e-10
Rosenbrock-2d,cahotic,ModifiedABC,2.5600348099710527e-12
Rosenbrock-2d,cahotic,ModifiedABC,1.0103590309798305e-14
Rosenbrock-2d,cahotic,ModifiedABC,1.876271161533633e-11
Rosenbrock-2d,random,ABC/best/1,1.2499684271023512e-17
Rosenbrock-2d,random,ABC/best/1,3.5287884122716984e-17
Rosenbrock-2d,random,ABC/best/1,4.988427981910271e-17
Rosenbrock-2d,random,ABC/best/1,8.182180341636523e-17
Rosenbrock-2d,random,ABC/best/1,2.5693103764267597e-20
Rosenbrock-2d,random,ABC/best/1,9.304311435777025e-17
Rosenbrock-2d,random,ABC/best/1,2.007950914603984e-17
Rosenbrock-2d,random,ABC/best/1,6.49912352324415e-17
Rosenbrock-2d,random,ABC/best/1,9.304962565634359e-17
Rosenbrock-2d,random,ABC/best/1,6.346155358839195e-17
Rosenbrock-2d,random,ABC/best/1,4.9009772265602824e-17
Rosenbrock-2d,random,ABC/best/1,3.2994192514014315e-17
Rosenbrock-2d,random,ABC/best/1,9.82683028032295e-16
Rosenbrock-2d,random,ABC/best/1,7.577765209739547e-17
Rosenbrock-2d,random,ABC/best/1,8.393572413736727e-17
Rosenbrock-2d,cahotic,ABC/best/1,0.0005228330120846146
Rosenbrock-2d,cahotic,ABC/best/1,0.004181977860933625
Rosenbrock-2d,cahotic,ABC/best/1,9.652060915479834e-05
Rosenbrock-2d,cahotic,ABC/best/1,8.051342361809866e-06
Rosenbrock-2d,cahotic,ABC/best/1,6.580893289593062e-05
Rosenbrock-2d,cahotic,ABC/best/1,2.8140896884040368e-05
Rosenbrock-2d,cahotic,ABC/best/1,3.3244624248779113e-06
Rosenbrock-2d,cahotic,ABC/best/1,1.013136509453254e-06
Rosenbrock-2d,cahotic,ABC/best/1,8.305888003590618e-06
Rosenbrock-2d,cahotic,ABC/best/1,1.1554454413156252e-06
Rosenbrock-2d,cahotic,ABC/best/1,4.68434205402517e-08
Rosenbrock-2d,cahotic,ABC/best/1,1.6834552594918336e-06
Rosenbrock-2d,cahotic,ABC/best/1,4.677623362625653e-06
Rosenbrock-2d,cahotic,ABC/best/1,5.624381647673465e-06
Rosenbrock-2d,cahotic,ABC/best/1,3.565846432594708e-05
Rosenbrock-2d,random,ABC/best/2,3.960200598059064e-05
Rosenbrock-2d,random,ABC/best/2,2.6308995828739114e-05
Rosenbrock-2d,random,ABC/best/2,7.053337127319379e-05
Rosenbrock-2d,random,ABC/best/2,6.506716386414551e-05
Rosenbrock-2d,random,ABC/best/2,2.613958430177951e-05
Rosenbrock-2d,random,ABC/best/2,2.8595760219951124e-07
Rosenbrock-2d,random,ABC/best/2,2.8243078883671714e-05
Rosenbrock-2d,random,ABC/best/2,1.878809057755809e-06
Rosenbrock-2d,random,ABC/best/2,4.676706807730572e-06
Rosenbrock-2d,random,ABC/best/2,9.166130692954743e-05
Rosenbrock-2d,random,ABC/best/2,2.6740330791421647e-06
Rosenbrock-2d,random,ABC/best/2,4.8648222514439016e-05
Rosenbrock-2d,random,ABC/best/2,3.613119435287762e-06
Rosenbrock-2d,random,ABC/best/2,9.501389625535382e-05
Rosenbrock-2d,random,ABC/best/2,2.2886027071738972e-05
Rosenbrock-2d,cahotic,ABC/best/2,0.0012230266314397485
Rosenbrock-2d,cahotic,ABC/best/2,0.001157180203962031
Rosenbrock-2d,cahotic,ABC/best/2,0.001614245150137436
Rosenbrock-2d,cahotic,ABC/best/2,0.0001545070451276338
Rosenbrock-2d,cahotic,ABC/best/2,0.001198157652352188
Rosenbrock-2d,cahotic,ABC/best/2,0.0004123040137956759
Rosenbrock-2d,cahotic,ABC/best/2,0.00025389825363329136
Rosenbrock-2d,cahotic,ABC/best/2,9.725786369098286e-05
Rosenbrock-2d,cahotic,ABC/best/2,0.003155614149346732
Rosenbrock-2d,cahotic,ABC/best/2,0.0013342437511686103
Rosenbrock-2d,cahotic,ABC/best/2,0.00013113575458078444
Rosenbrock-2d,cahotic,ABC/best/2,0.0003015515439034382
Rosenbrock-2d,cahotic,ABC/best/2,0.00026361137259126705
Rosenbrock-2d,cahotic,ABC/best/2,0.0004255695785428267
Rosenbrock-2d,cahotic,ABC/best/2,0.007147433444079361
Rosenbrock-2d,random,DirectedABC,0.11288121608868766
Rosenbrock-2d,random,DirectedABC,0.00029027591709546597
Rosenbrock-2d,random,DirectedABC,0.10095144116235004
Rosenbrock-2d,random,DirectedABC,0.10150955300983669
Rosenbrock-2d,random,DirectedABC,0.09233434973244171
Rosenbrock-2d,random,DirectedABC,0.0344424475960141
Rosenbrock-2d,random,DirectedABC,0.022425363971820295
Rosenbrock-2d,random,DirectedABC,0.10517875036438282
Rosenbrock-2d,random,DirectedABC,0.11798205630425446
Rosenbrock-2d,random,DirectedABC,0.04146589817268381
Rosenbrock-2d,random,DirectedABC,0.01145451029462347
Rosenbrock-2d,random,DirectedABC,0.0172696933093153
Rosenbrock-2d,random,DirectedABC,0.004721647439178472
Rosenbrock-2d,random,DirectedABC,0.0449655825057524
Rosenbrock-2d,random,DirectedABC,0.0021505197138631206
Rosenbrock-2d,cahotic,DirectedABC,0.000857254679518127
Rosenbrock-2d,cahotic,DirectedABC,5.068878245093793e-05
Rosenbrock-2d,cahotic,DirectedABC,0.002313386468690634
Rosenbrock-2d,cahotic,DirectedABC,0.00138267967398261
Rosenbrock-2d,cahotic,DirectedABC,0.001494736765986614
Rosenbrock-2d,cahotic,DirectedABC,0.0016413834834538622
Rosenbrock-2d,cahotic,DirectedABC,0.0007577305952654624
Rosenbrock-2d,cahotic,DirectedABC,0.0005889043073994145
Rosenbrock-2d,cahotic,DirectedABC,7.82241669336007e-05
Rosenbrock-2d,cahotic,DirectedABC,0.001101022957753652
Rosenbrock-2d,cahotic,DirectedABC,0.0010029723328909288
Rosenbrock-2d,cahotic,DirectedABC,0.0013948121024341122
Rosenbrock-2d,cahotic,DirectedABC,0.00264600207218746
Rosenbrock-2d,cahotic,DirectedABC,0.0003311207734101194
Rosenbrock-2d,cahotic,DirectedABC,0.0026604106075407983
Ackley-2d,random,StandardABC,1.130762150580722e-10
Ackley-2d,random,StandardABC,2.595657022652631e-11
Ackley-2d,random,StandardABC,2.8653035499814905e-10
