Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Schwefel-2d,cahotic,StandardABC,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05
Schwefel-2d,random,ModifiedABC,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05
Schwefel-2d,cahotic,ModifiedABC,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05
Schwefel-2d,random,ABC/best/1,2.5455183011520905e-05,8.315213820947656e-11,2.5455152353970334e-05,2.5455132458773733e-05,2.5455472155044845e-05
Schwefel-2d,cahotic,ABC/best/1,2.5455421102075586e-05,4.804482045336154e-10,2.5455180320932413e-05,2.545513302720792e-05,2.5456580488025793e-05
Schwefel-2d,random,ABC/best/2,2.5455474595522295e-05,4.947196163235257e-10,2.5455221589254506e-05,2.545514450957853e-05,2.5456992943873047e-05
Schwefel-2d,cahotic,ABC/best/2,2.545548406942544e-05,5.149831063599995e-10,2.5455193735979265e-05,2.545513302720792e-05,2.545691995692323e-05
Schwefel-2d,random,DirectedABC,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05
Schwefel-2d,cahotic,DirectedABC,2.5455132345086895e-05,0.0,2.5455132345086895e-05,2.5455132345086895e-05,2.5455132345086895e-05
Sumsquares-2d,random,StandardABC,4.691271729589403e-13,1.2507383667862702e-12,1.155153442826356e-14,6.912246534418949e-17,5.03039818980869e-12
Sumsquares-2d,cahotic,StandardABC,3.564941197470262e-14,1.004114817832987e-13,9.00583384669981e-16,4.006978650174485e-18,4.0778559313511885e-13
Sumsquares-2d,random,ModifiedABC,8.828974680059906e-12,1.3506740014821775e-11,1.7386069450346233e-12,1.3726268621999555e-15,5.150079034070861e-11
Sumsquares-2d,cahotic,ModifiedABC,2.8383284029316902e-11,3.5241182313881054e-11,1.7335506941894953e-11,1.9736184334995229e-13,1.2001530847478978e-10
Sumsquares-2d,random,ABC/best/1,1.9089717270488928e-10,4.2879538042906593e-10,2.2625446180803414e-11,4.13546287464851e-13,1.7315617575688894e-09
Sumsquares-2d,cahotic,ABC/best/1,2.2234667335185321e-10,3.5648265415322785e-10,8.22290764229216e-11,8.78601040400212e-14,1.3678098305965475e-09
Sumsquares-2d,random,ABC/best/2,3.6961632607106983e-10,8.317192220792536e-10,1.3011101072554264e-10,6.535184564221419e-12,3.4483390005701303e-09
Sumsquares-2d,cahotic,ABC/best/2,5.18857851306112e-10,9.442138107210577e-10,1.221764557329882e-10,8.070665625278706e-14,3.800885351626234e-09
Sumsquares-2d,random,DirectedABC,2.8292016235729735e-12,9.358261830181994e-12,1.1230110080392038e-13,2.097089677246779e-16,3.7793404155585287e-11
Sumsquares-2d,cahotic,DirectedABC,3.5906906835956872e-12,5.91651763610252e-12,1.771949729157889e-13,6.766552798121951e-17,1.8626516999848985e-11
Sphere-10d,random,StandardABC,5.178414474897897e-12,9.10591985515051e-12,1.8156171171070457e-13,1.057276495908859e-15,3.226477469497247e-11
Sphere-10d,cahotic,StandardABC,2.781385658466838e-12,3.6296109659413356e-12,1.5682051725342906e-12,9.538391591111261e-15,1.3491913429271551e-11
