Function,Initialization,Diversity
Rastrigin-2d,random,3.0049928662606917
Rastrigin-2d,random,2.7270999272732657
Rastrigin-2d,random,2.624148413561219
Rastrigin-2d,random,2.702218101385349
Rastrigin-2d,random,2.875453986193817
Rastrigin-2d,random,2.940664711907043
Rastrigin-2d,random,3.030633409047882
Rastrigin-2d,cahotic,2.998520287462421
Rastrigin-2d,cahotic,2.825246037763913
Rastrigin-2d,cahotic,3.034719812081656
Rastrigin-2d,cahotic,2.856917920573622
Rastrigin-2d,cahotic,2.5496997669113934
Rastrigin-2d,cahotic,2.8464418344896325
Rastrigin-2d,cahotic,2.62828445264331
Rastrigin-2d,cahotic,2.985505632602613
Rastrigin-2d,cahotic,3.1085007856517226
Rastrigin-2d,cahotic,3.0592322022628933
Rastrigin-2d,cahotic,2.795739829670978
Rastrigin-2d,cahotic,2.7299804237557788
Rastrigin-2d,cahotic,2.8869438398840397
Rastrigin-2d,cahotic,2.6447795619310015
Rastrigin-2d,cahotic,3.122388627347756
Weierstrass-2d,random,0.2616765716313464
Weierstrass-2d,random,0.2867416341043229
Weierstrass-2d,random,0.26798644006048894
Weierstrass-2d,random,0.26326875218504187
Weierstrass-2d,random,0.2647481233876007
Weierstrass-2d,random,0.2483747897528893
Weierstrass-2d,random,0.2929199871606144
Weierstrass-2d,random,0.2566663396098323
Weierstrass-2d,random,0.27849551570740677
Weierstrass-2d,random,0.2568310128459126
Weierstrass-2d,random,0.291621012260205
Weierstrass-2d,random,0.30678473671815126
Weierstrass-2d,random,0.2716709122791895
Weierstrass-2d,random,0.2595571525927589
Weierstrass-2d,random,0.23319941395816415
Weierstrass-2d,cahotic,0.28154703638566386
Weierstrass-2d,cahotic,0.2325710643775372
Weierstrass-2d,cahotic,0.23809954384380247
Weierstrass-2d,cahotic,0.24952144952149813
Weierstrass-2d,cahotic,0.27219302948655405
Weierstrass-2d,cahotic,0.2647809892880969
Weierstrass-2d,cahotic,0.2949937432859281
Weierstrass-2d,cahotic,0.23653280054414474
Weierstrass-2d,cahotic,0.2523634286524539
Weierstrass-2d,cahotic,0.25621444513939906
Weierstrass-2d,cahotic,0.2944402288404583
Weierstrass-2d,cahotic,0.2280370258673068
Weierstrass-2d,cahotic,0.21420107382004322
Weierstrass-2d,cahotic,0.2595057574261006
Weierstrass-2d,cahotic,0.27131350358206247
Griewank-2d,random,339.4199081419236
Griewank-2d,random,318.3383952073501
Griewank-2d,random,322.9154187769191
Griewank-2d,random,309.6385327576531
Griewank-2d,random,317.17987992028037
Griewank-2d,random,300.7960230814185
Griewank-2d,random,344.27305044944995
Griewank-2d,random,319.17929228890307
Griewank-2d,random,320.37874998322155
Griewank-2d,random,300.2239146824136
Griewank-2d,random,321.7167448503841
Griewank-2d,random,297.6889657726713
