Function,Initialization,Mutation,Mean,Median,Std,Best,Worst
Sumsquares-2d,cahotic,ModifiedABC,2.408411950417412e-10,7.523896968561843e-12,4.1291192272903805e-10,1.6918521486483856e-13,1.145325089087915e-09
Sumsquares-2d,random,ABC/best/1,1.7208789563555645e-10,6.43234728717467e-11,2.2396442981489283e-10,6.098490337172789e-12,6.920752391165462e-10
Sumsquares-2d,cahotic,ABC/best/1,4.590386524519494e-10,3.71977483351715e-11,7.138465576271015e-10,5.944337239703398e-15,2.083482088426778e-09
Sumsquares-2d,random,ABC/best/2,1.5884150086678597e-10,1.2274102771157916e-10,1.497860002832698e-10,7.183956457156542e-13,4.802326964402036e-10
Sumsquares-2d,cahotic,ABC/best/2,1.788700783203177e-10,5.6204021175917146e-11,3.0411304726936036e-10,1.0135506017958273e-12,1.0357746538378065e-09
Eggholder,random,ModifiedABC,-959.640662720851,-959.640662720851,0.0,-959.640662720851,-959.640662720851
Eggholder,cahotic,ModifiedABC,-943.3743611458565,-953.1221741671297,20.479993841332305,-959.6406608470993,-905.0880077984675
Eggholder,random,ABC/best/1,-959.640662720851,-959.640662720851,0.0,-959.640662720851,-959.640662720851
Eggholder,cahotic,ABC/best/1,-958.625484711822,-959.608737589311,2.4927741091832583,-959.6406280010078,-951.2576490903516
Eggholder,random,ABC/best/2,-953.1344864878258,-959.640662720851,19.51852869907526,-959.640662720851,-894.5789003906001
Eggholder,cahotic,ABC/best/2,-940.2607760777479,-956.1970491626369,24.907286039545383,-959.6354011270964,-894.5414018793297
Sphere-30d,random,ModifiedABC,0.00032083897833428885,0.0001287061819554472,0.00045039270852947736,2.8155823998186314e-05,0.0015806608717797823
Sphere-30d,cahotic,ModifiedABC,0.000277762656459639,9.548346921582014e-05,0.00035262810341122475,2.388360223851068e-05,0.0010149352983121263
Sphere-30d,random,ABC/best/1,6.224724819704301e-08,3.696273119138405e-08,6.181775660028447e-08,7.248254703124023e-09,2.0985551241984903e-07
Sphere-30d,cahotic,ABC/best/1,5.945277833455996e-08,5.422288271512828e-08,4.799618304877773e-08,9.103166909398783e-09,1.493878791744231e-07
Sphere-30d,random,ABC/best/2,9.23888804924876e-08,8.460349793311637e-08,6.453075248463686e-08,1.6251443065080003e-08,2.1091688453670687e-07
Sphere-30d,cahotic,ABC/best/2,9.484874972935616e-08,9.483524837016158e-08,4.5901560580485564e-08,6.474700931173458e-09,1.5390155344361918e-07
Rosenbrock-30d,random,ModifiedABC,27.3460613070397,27.051573814499058,0.9817630014776789,25.968953588690642,29.497665732849445
Rosenbrock-30d,cahotic,ModifiedABC,26.728190464134872,26.65909021756589,0.6057230676155315,25.73835070354522,27.809722598895195
Rosenbrock-30d,random,ABC/best/1,35.44746286677497,26.001954416571387,21.29944713450386,21.789464665505168,83.47998176833255
Rosenbrock-30d,cahotic,ABC/best/1,24.81770244550781,15.556084863638338,25.708483039484193,0.13658869801554102,75.72729033096465
Rosenbrock-30d,random,ABC/best/2,28.752708240968936,24.16290338000082,14.30207051471776,22.092038761308388,71.54408194393712
Rosenbrock-30d,cahotic,ABC/best/2,22.792232370574574,10.554653941291885,24.023152429556035,1.5338025074217496,74.63906753986609
Ackley-30d,random,ModifiedABC,1.5687651355733578e-08,1.66794293932071e-08,9.443302740639426e-09,1.142090866323997e-10,2.808944188359419e-08
Ackley-30d,cahotic,ModifiedABC,1.9125410943843234e-08,1.1673952471369375e-08,2.09338812703801e-08,2.453695913118281e-09,7.78044757510088e-08
Ackley-30d,random,ABC/best/1,6.245177885944031e-09,6.718872569422274e-09,2.9455906468994675e-09,1.4982610707647837e-09,1.0463597988064066e-08
Ackley-30d,cahotic,ABC/best/1,1.2785180913965632e-08,9.213673379804277e-09,1.1147816569455811e-08,6.56783072372491e-10,3.366091050338582e-08
Ackley-30d,random,ABC/best/2,2.4722161739987315e-08,1.8394784362385508e-08,1.2063264755423414e-08,1.2422319173310825e-08,4.9194017748277474e-08
Ackley-30d,cahotic,ABC/best/2,1.8285467362488816e-08,1.3327049686040482e-08,1.3064655811297743e-08,2.072265914421223e-09,4.5866283215900694e-08
Rastrigin-30d,random,ModifiedABC,13.206445461805936,11.858896243593847,4.140795218813061,8.95561639270278,21.957341776015596
Rastrigin-30d,cahotic,ModifiedABC,12.007052109269665,13.555241969818582,3.169218495382413,7.972724928710875,16.413077220824448
Rastrigin-30d,random,ABC/best/1,0.09949598574867195,6.248163231248327e-08,0.2984877048297205,4.656612873077393e-10,0.9949591002377929
Rastrigin-30d,cahotic,ABC/best/1,2.842698449967429e-08,1.3369145790420589e-08,4.1755808482789575e-08,9.804352885112166e-10,1.4814236237725709e-07
Rastrigin-30d,random,ABC/best/2,6.557479025559587e-07,4.992759272681724e-07,4.933764663796532e-07,2.7440569283498917e-07,2.0897687136312015e-06
Rastrigin-30d,cahotic,ABC/best/2,1.185725278673999e-06,9.296289817939396e-07,1.0469586435762584e-06,1.8117543731932528e-07,4.112047236048966e-06
Griewank-30d,random,ModifiedABC,0.11421075269088503,0.07583864380351085,0.07836037158800971,0.02587164791720309,0.24442439882378875
Griewank-30d,cahotic,ModifiedABC,0.25845864242224426,0.19150056223991063,0.20002268937062245,0.06543224664664837,0.6810277427072264
Griewank-30d,random,ABC/best/1,1.2024141118338605e-07,2.4056376668468715e-08,1.9327966392239682e-07,3.7377057005016923e-10,6.499185787323114e-07
